filename	array	injury	time	level
GSM31433.CEL	A-AFFY-18	mild	1d	T8
GSM7568.CEL	A-AFFY-20	severe	1d	T9
GSM4482.CEL	A-AFFY-19	normal	4h	T8
GSM4484.CEL	A-AFFY-19	normal	7d	T9
GSM31512.CEL	A-AFFY-20	normal	0h	T9
GSM4472.CEL	A-AFFY-19	mild	4h	T9
GSM6674.CEL	A-AFFY-20	normal	4h	T9
GSM4485.CEL	A-AFFY-19	normal	0h	T9
GSM1328.CEL	A-AFFY-18	mild	7d	T9
GSM6639.CEL	A-AFFY-20	mild	1d	T9
GSM31557.CEL	A-AFFY-18	moderate	2d	T9
GSM31267.CEL	A-AFFY-18	normal	2d	T8
GSM7576.CEL	A-AFFY-19	severe	1d	T9
GSM31555.CEL	A-AFFY-19	moderate	2d	T9
GSM31564.CEL	A-AFFY-20	moderate	2d	T9
GSM31394.CEL	A-AFFY-20	severe	7d	T9
GSM31384.CEL	A-AFFY-20	severe	4h	T9
GSM4470.CEL	A-AFFY-19	mild	1d	T10
GSM6638.CEL	A-AFFY-20	mild	1d	T10
GSM31194.CEL	A-AFFY-18	moderate	3d	T9
GSM31343.CEL	A-AFFY-18	severe	14d	T8
GSM31261.CEL	A-AFFY-19	normal	2d	T9
GSM31561.CEL	A-AFFY-18	moderate	2d	T10
GSM31467.CEL	A-AFFY-19	severe	1d	T9
GSM31250.CEL	A-AFFY-18	normal	1d	T9
GSM31395.CEL	A-AFFY-18	severe	7d	T8
GSM31804.CEL	A-AFFY-19	mild	0.5h	T9
GSM6675.CEL	A-AFFY-20	normal	4h	T10
GSM31609.CEL	A-AFFY-20	severe	28d	T9
GSM31205.CEL	A-AFFY-18	mild	1d	T9
GSM31484.CEL	A-AFFY-19	severe	4h	T9
GSM4431.CEL	A-AFFY-19	normal	7d	T9
GSM7586.CEL	A-AFFY-20	severe	4h	T8
GSM31521.CEL	A-AFFY-18	moderate	0.5d	T8
GSM31529.CEL	A-AFFY-19	moderate	21d	T9
GSM31472.CEL	A-AFFY-20	severe	1d	T9
GSM31616.CEL	A-AFFY-18	severe	14d	T9
GSM31262.CEL	A-AFFY-19	normal	0.5h	T8
GSM31420.CEL	A-AFFY-20	mild	14d	T9
GSM31577.CEL	A-AFFY-18	moderate	3d	T9
GSM1137.CEL	A-AFFY-18	mild	1d	T8
GSM31224.CEL	A-AFFY-20	mild	0.5h	T9
GSM31581.CEL	A-AFFY-19	moderate	7d	T9
GSM31367.CEL	A-AFFY-19	severe	28d	T9
GSM6663.CEL	A-AFFY-20	mild	1d	T9
