UniProt	Ensembl
Q5BK61	ENSRNOG00000014202
Q5U2S5	ENSRNOG00000017488
B1H267	ENSRNOG00000006077
P46720	ENSRNOG00000036984
P70502	ENSRNOG00000010388
O35913	ENSRNOG00000047493
O88397	ENSRNOG00000031249
Q9QYE2	ENSRNOG00000030894
Q9QZX8	ENSRNOG00000030538
Q9JHI3	ENSRNOG00000017976
Q70EX6	ENSRNOG00000002057
A7XYI6	ENSRNOG00000000316
P07632	ENSRNOG00000002115
Q08420	ENSRNOG00000003869
P07895	ENSRNOG00000019048
Q3MHT3	ENSRNOG00000038091
P01244	ENSRNOG00000011207
O54861	ENSRNOG00000031814
Q3SWT1	ENSRNOG00000023480
Q5FVP2	ENSRNOG00000015416
Q642G2	ENSRNOG00000005770
Q99P67	ENSRNOG00000020805
O55170	ENSRNOG00000011305
P0C1G9	ENSRNOG00000030034
Q01714	ENSRNOG00000014084
Q7TPA5	ENSRNOG00000011141
Q4PJT6	ENSRNOG00000019976
Q6AYJ3	ENSRNOG00000015137
Q5U2X2	ENSRNOG00000010078
B2RYN7	ENSRNOG00000027136
Q6AY22	ENSRNOG00000015678
Q5RJT2	ENSRNOG00000009857
Q5M856	ENSRNOG00000006731
Q568Z4	ENSRNOG00000049355
Q568Z4	ENSRNOG00000046858
Q3KR99	ENSRNOG00000007292
Q8R496	ENSRNOG00000004534
Q5PQN6	ENSRNOG00000049223
Q0D2L3	ENSRNOG00000012315
Q9R095	ENSRNOG00000058275
Q63638	ENSRNOG00000019850
Q6AXV6	ENSRNOG00000047413
A0JPP4	ENSRNOG00000025359
Q4QQU6	ENSRNOG00000014833
Q8VBV2	ENSRNOG00000013957
Q5XIC4	ENSRNOG00000015019
Q7TT47	ENSRNOG00000015150
Q6BDS1	ENSRNOG00000012172
Q5RKG1	ENSRNOG00000039024
Q4V8J7	ENSRNOG00000011119
Q68FP5	ENSRNOG00000005426
Q2YDU8	ENSRNOG00000017621
Q9WV75	ENSRNOG00000006033
Q5PQL3	ENSRNOG00000057881
P16975	ENSRNOG00000012840
Q3C2P8	ENSRNOG00000004888
P18297	ENSRNOG00000015455
Q5BIV7	ENSRNOG00000018927
P81728	ENSRNOG00000023090
Q4FZT8	ENSRNOG00000003127
Q5M7T2	ENSRNOG00000015095
Q5U2T3	ENSRNOG00000016012
Q5M877	ENSRNOG00000015125
Q5M877	ENSRNOG00000047113
Q68A65	ENSRNOG00000009058
B6VQA5	ENSRNOG00000018202
Q66H17	ENSRNOG00000003275
P16086	ENSRNOG00000015396
Q4G019	ENSRNOG00000004292
M0R8L2	ENSRNOG00000053700
P09139	ENSRNOG00000023856
Q6AXY9	ENSRNOG00000013050
O08623	ENSRNOG00000003147
P56720	ENSRNOG00000003463
Q66HL2	ENSRNOG00000050994
Q66HL2	ENSRNOG00000047280
Q9QXY2	ENSRNOG00000011475
Q9WUD9	ENSRNOG00000009495
Q66H19	ENSRNOG00000014808
P04917	ENSRNOG00000000394
D4A208	ENSRNOG00000006733
Q6AYB5	ENSRNOG00000032776
B5DF94	ENSRNOG00000003715
Q63769	ENSRNOG00000039666
Q76EQ0	ENSRNOG00000002991
Q6PDU1	ENSRNOG00000000248
Q09167	ENSRNOG00000005513
G3V6S8	ENSRNOG00000006380
Q5PPI1	ENSRNOG00000001163
Q9QXN2	ENSRNOG00000008563
Q700K0	ENSRNOG00000025848
P28646	ENSRNOG00000048145
P30680	ENSRNOG00000002793
P30936	ENSRNOG00000007332
P30937	ENSRNOG00000004641
Q07984	ENSRNOG00000053172
Q04931	ENSRNOG00000008825
Q4KLK9	ENSRNOG00000017829
Q91XS8	ENSRNOG00000012502
P17988	ENSRNOG00000019342
P52847	ENSRNOG00000001967
G3V9R3	ENSRNOG00000001960
Q29YR5	ENSRNOG00000021046
P63047	ENSRNOG00000046975
Q68FW3	ENSRNOG00000014002
Q2IBD0	ENSRNOG00000056243
Q8R424	ENSRNOG00000012227
Q99M76	ENSRNOG00000001360
Q5XHY7	ENSRNOG00000027447
P97826	ENSRNOG00000015052
P52631	ENSRNOG00000019742
Q5FVN1	ENSRNOG00000002218
P97574	ENSRNOG00000015075
Q9R0K8	ENSRNOG00000020729
Q4V8K1	ENSRNOG00000008602
P50569	ENSRNOG00000012682
P84903	ENSRNOG00000020425
Q7TSW6	ENSRNOG00000017051
F1M391	ENSRNOG00000042137
O35814	ENSRNOG00000021164
P57760	ENSRNOG00000019294
O88506	ENSRNOG00000024808
Q4FZT0	ENSRNOG00000009535
P13668	ENSRNOG00000016810
P21818	ENSRNOG00000011705
P63043	ENSRNOG00000053334
D4AB66	ENSRNOG00000004458
P02317	ENSRNOG00000017611
Q3MHT4	ENSRNOG00000020047
Q4KLY8	ENSRNOG00000031448
A1A5R9	ENSRNOG00000023457
Q4QR83	ENSRNOG00000008312
Q5XIG8	ENSRNOG00000007134
P58405	ENSRNOG00000060335
G3V7P1	ENSRNOG00000011804
Q9Z158	ENSRNOG00000005801
Q68FW4	ENSRNOG00000006139
P32851	ENSRNOG00000029165
P61265	ENSRNOG00000019193
Q08849	ENSRNOG00000021013
Q08851	ENSRNOG00000018847
Q63635	ENSRNOG00000003402
O70257	ENSRNOG00000015670
Q9Z2Q7	ENSRNOG00000003849
P61765	ENSRNOG00000015420
Q9WU70	ENSRNOG00000013351
Q68FU8	ENSRNOG00000052111
P50235	ENSRNOG00000047986
Q5I0H3	ENSRNOG00000016133
Q5XIF4	ENSRNOG00000038489
Q9QXU2	ENSRNOG00000005247
Q02563	ENSRNOG00000021182
Q9Z2I6	ENSRNOG00000018094
Q4KLG3	ENSRNOG00000007404
P0C0A9	ENSRNOG00000037137
Q9Z2I7	ENSRNOG00000000693
D3ZH22	ENSRNOG00000020554
Q63ZV7	ENSRNOG00000022860
P50475	ENSRNOG00000018404
Q5XHZ2	ENSRNOG00000024073
O35775	ENSRNOG00000019879
O70608	ENSRNOG00000061690
Q63520	ENSRNOG00000005270
P15178	ENSRNOG00000003743
Q3KRD0	ENSRNOG00000002813
Q99PK0	ENSRNOG00000000988
Q4QRB2	ENSRNOG00000060597
Q505J8	ENSRNOG00000003149
Q6AYQ3	ENSRNOG00000016135
Q9WVJ4	ENSRNOG00000006399
P09951	ENSRNOG00000010365
Q5M844	ENSRNOG00000049277
Q5M844	ENSRNOG00000020830
Q58DZ9	ENSRNOG00000031536
Q62910	ENSRNOG00000002051
Q9Z327	ENSRNOG00000019181
P22831	ENSRNOG00000008203
Q5M7W7	ENSRNOG00000007327
P40329	ENSRNOG00000007739
Q6P799	ENSRNOG00000020255
O08625	ENSRNOG00000014296
O08835	ENSRNOG00000020279
P97610	ENSRNOG00000019306
Q62807	ENSRNOG00000017136
P21707	ENSRNOG00000006426
P50232	ENSRNOG00000017333
P47861	ENSRNOG00000018217
Q62746	ENSRNOG00000019163
Q62747	ENSRNOG00000026432
Q925C0	ENSRNOG00000019613
Q5XHY5	ENSRNOG00000019023
Q68FW7	ENSRNOG00000057194
P37377	ENSRNOG00000008656
Q04462	ENSRNOG00000000867
Q6P7B0	ENSRNOG00000004359
Q5I0L3	ENSRNOG00000025252
Q5XIA2	ENSRNOG00000009183
Q5BK83	ENSRNOG00000023628
Q6AYA5	ENSRNOG00000006206
Q5RJK0	ENSRNOG00000053269
Q9R1B1	ENSRNOG00000050846
Q568Z0	ENSRNOG00000007587
Q5HZE2	ENSRNOG00000001441
Q5HZA9	ENSRNOG00000022748
B2RZD2	ENSRNOG00000022732
Q9QZE9	ENSRNOG00000061100
B5DFH9	ENSRNOG00000002258
Q7TQ79	ENSRNOG00000031495
Q4G068	ENSRNOG00000023708
Q925D4	ENSRNOG00000008465
Q4QQS1	ENSRNOG00000001275
Q810F5	ENSRNOG00000012860
P62501	ENSRNOG00000001030
Q9EQZ1	ENSRNOG00000056135
Q3B8N7	ENSRNOG00000050805
Q3B8N7	ENSRNOG00000024616
P21643	ENSRNOG00000011612
O08950	ENSRNOG00000056701
Q6AY96	ENSRNOG00000047134
Q9JKT7	ENSRNOG00000005717
Q9JKU0	ENSRNOG00000021799
Q67ER9	ENSRNOG00000028135
Q67ET2	ENSRNOG00000028130
Q9JKE7	ENSRNOG00000017881
Q4QQS2	ENSRNOG00000052519
Q9EQL5	ENSRNOG00000016437
Q67ET7	ENSRNOG00000030413
Q67ET0	ENSRNOG00000012195
Q9JKE9	ENSRNOG00000005645
P34978	ENSRNOG00000020585
Q923X8	ENSRNOG00000046302
Q5QD21	ENSRNOG00000047825
Q923Y1	ENSRNOG00000048265
Q923Y4	ENSRNOG00000048072
Q5QD25	ENSRNOG00000025951
Q5QD24	ENSRNOG00000025982
Q923Y7	ENSRNOG00000029877
Q5QD23	ENSRNOG00000039869
Q923Y5	ENSRNOG00000016089
Q923Y6	ENSRNOG00000026096
Q5U303	ENSRNOG00000016054
Q5BK49	ENSRNOG00000023030
Q6AYE3	ENSRNOG00000002757
Q5BJQ7	ENSRNOG00000003816
Q4V8F5	ENSRNOG00000008597
Q5U1X0	ENSRNOG00000024601
D3ZYB7	ENSRNOG00000061415
Q6P773	ENSRNOG00000015632
Q62880	ENSRNOG00000061102
Q5BKE0	ENSRNOG00000051258
Q5XFX0	ENSRNOG00000008301
P37805	ENSRNOG00000002151
P37805	ENSRNOG00000059539
P31232	ENSRNOG00000017628
Q9EQS0	ENSRNOG00000018367
Q66HA4	ENSRNOG00000008393
P68370	ENSRNOG00000060728
Q6P9V9	ENSRNOG00000053468
Q6AYZ1	ENSRNOG00000021438
Q68FR8	ENSRNOG00000031707
Q68FR8	ENSRNOG00000032967
Q5XIF6	ENSRNOG00000003597
Q6AY56	ENSRNOG00000048169
P85108	ENSRNOG00000017558
Q3KRE8	ENSRNOG00000017445
Q4QRB4	ENSRNOG00000017209
P69897	ENSRNOG00000061216
Q6PEC1	ENSRNOG00000048342
Q5FVR8	ENSRNOG00000026458
Q5PQJ7	ENSRNOG00000032364
Q5FVQ9	ENSRNOG00000029667
B5DFA1	ENSRNOG00000023348
P83888	ENSRNOG00000020213
Q6DG50	ENSRNOG00000009370
Q5U2W5	ENSRNOG00000013429
A6H909	ENSRNOG00000033682
Q5PQK8	ENSRNOG00000023850
Q5M9G9	ENSRNOG00000052477
Q7TST9	ENSRNOG00000008706
D3ZJK7	ENSRNOG00000019771
P0DKR2	ENSRNOG00000004085
Q5PPP3	ENSRNOG00000002387
D3ZT37	ENSRNOG00000037645
Q6I7R5	ENSRNOG00000028585
Q4KLL0	ENSRNOG00000022323
Q63799	ENSRNOG00000016288
Q5XI00	ENSRNOG00000000499
Q63396	ENSRNOG00000050563
P28480	ENSRNOG00000014160
Q5XIM9	ENSRNOG00000021317
Q7TPB1	ENSRNOG00000009642
Q68FQ0	ENSRNOG00000011632
Q6P502	ENSRNOG00000019090
Q3ZBA0	ENSRNOG00000001010
Q5XIF1	ENSRNOG00000048237
P63029	ENSRNOG00000001049
Q9R1R4	ENSRNOG00000055779
Q3MHU3	ENSRNOG00000053631
Q498E2	ENSRNOG00000027245
Q5EAN7	ENSRNOG00000010712
Q5XIC7	ENSRNOG00000009398
P83868	ENSRNOG00000002642
Q64232	ENSRNOG00000021808
Q3B7D3	ENSRNOG00000052704
Q9QYV1	ENSRNOG00000008034
P41224	ENSRNOG00000019383
Q99JD2	ENSRNOG00000014973
Q6AYM2	ENSRNOG00000011033
Q4V8G8	ENSRNOG00000027212
Q6AXV2	ENSRNOG00000018792
Q6IMG9	ENSRNOG00000013465
P46462	ENSRNOG00000034242
Q673L6	ENSRNOG00000025327
Q63572	ENSRNOG00000053729
Q924U5	ENSRNOG00000017282
P15242	ENSRNOG00000018028
Q2LAP6	ENSRNOG00000051952
Q6AXY3	ENSRNOG00000033585
O08949	ENSRNOG00000004300
A0JN27	ENSRNOG00000018230
Q561R7	ENSRNOG00000001035
Q91ZW1	ENSRNOG00000000613
Q5U2T7	ENSRNOG00000002695
Q63302	ENSRNOG00000061595
Q63467	ENSRNOG00000001164
Q5U2Y6	ENSRNOG00000000663
Q02445	ENSRNOG00000005039
B2GUY2	ENSRNOG00000001407
P26342	ENSRNOG00000002093
P01134	ENSRNOG00000016182
P17246	ENSRNOG00000020652
Q07257	ENSRNOG00000002418
Q07258	ENSRNOG00000009867
Q99PD6	ENSRNOG00000019965
P38438	ENSRNOG00000013265
P23606	ENSRNOG00000020136
D4A5U3	ENSRNOG00000006753
P19814	ENSRNOG00000014617
P85107	ENSRNOG00000008156
Q5U208	ENSRNOG00000056956
Q642B6	ENSRNOG00000018351
P49430	ENSRNOG00000007918
P63059	ENSRNOG00000009066
Q5PQR6	ENSRNOG00000002085
Q5XHX8	ENSRNOG00000007960
Q566R0	ENSRNOG00000020829
Q5XIE1	ENSRNOG00000005929
Q5M965	ENSRNOG00000005539
P17764	ENSRNOG00000007862
P97615	ENSRNOG00000005614
Q5M7T9	ENSRNOG00000006508
P59924	ENSRNOG00000032739
Q68FX7	ENSRNOG00000008456
Q6AY87	ENSRNOG00000003497
P24155	ENSRNOG00000019924
P97532	ENSRNOG00000000185
Q8CGV7	ENSRNOG00000018105
P24329	ENSRNOG00000000186
P01830	ENSRNOG00000006604
Q6P3E0	ENSRNOG00000047053
O35092	ENSRNOG00000007040
Q6AY94	ENSRNOG00000002999
O08629	ENSRNOG00000027487
Q5BK67	ENSRNOG00000011947
Q5XIB9	ENSRNOG00000010941
B1WC39	ENSRNOG00000008686
P62074	ENSRNOG00000007883
P62076	ENSRNOG00000019682
Q5U2X7	ENSRNOG00000015142
Q9JKW1	ENSRNOG00000007988
P62078	ENSRNOG00000009888
Q9WV97	ENSRNOG00000008222
Q5FVR0	ENSRNOG00000021345
P30120	ENSRNOG00000010208
P30121	ENSRNOG00000003148
P81556	ENSRNOG00000007955
A2VCX1	ENSRNOG00000003048
P17431	ENSRNOG00000058646
Q4KLZ6	ENSRNOG00000020704
P06767	ENSRNOG00000007374
Q8CH01	ENSRNOG00000004404
Q5U2T1	ENSRNOG00000012579
Q9JIT3	ENSRNOG00000013013
Q569C0	ENSRNOG00000002434
D3ZFW5	ENSRNOG00000006519
Q6AYQ4	ENSRNOG00000028017
Q4KLI2	ENSRNOG00000011025
Q5RJK3	ENSRNOG00000012454
Q6IE14	ENSRNOG00000002002
Q5U4F4	ENSRNOG00000016815
B1WBM3	ENSRNOG00000020693
Q5M826	ENSRNOG00000026965
Q2TA63	ENSRNOG00000021006
Q5BK38	ENSRNOG00000026518
Q91XV7	ENSRNOG00000004757
A9CMA6	ENSRNOG00000003769
Q4V899	ENSRNOG00000002199
Q68FU0	ENSRNOG00000015472
Q6AY05	ENSRNOG00000000044
Q4KM93	ENSRNOG00000025484
Q68FS7	ENSRNOG00000003594
Q4KLZ1	ENSRNOG00000027087
Q5EB63	ENSRNOG00000037435
Q5BK13	ENSRNOG00000009896
Q5M962	ENSRNOG00000016494
Q66H28	ENSRNOG00000003915
Q68FR5	ENSRNOG00000028219
A1L1L2	ENSRNOG00000008812
B6ID01	ENSRNOG00000020692
Q5U3Y9	ENSRNOG00000008757
Q6GV27	ENSRNOG00000054439
Q5BJP5	ENSRNOG00000021263
Q5FVM1	ENSRNOG00000021517
D3ZXD8	ENSRNOG00000026271
Q5EB73	ENSRNOG00000006800
Q6AY76	ENSRNOG00000000893
Q6AXS2	ENSRNOG00000025476
Q5U220	ENSRNOG00000011276
Q566R2	ENSRNOG00000016559
Q6JAM9	ENSRNOG00000001506
D3ZYP5	ENSRNOG00000028083
Q68FV1	ENSRNOG00000028063
Q5U2V9	ENSRNOG00000003075
A4F267	ENSRNOG00000003398
Q5FVN2	ENSRNOG00000010752
Q497B2	ENSRNOG00000008515
Q4V888	ENSRNOG00000006697
Q5PPM8	ENSRNOG00000009948
B0BNG2	ENSRNOG00000042237
Q5FVF4	ENSRNOG00000001817
B0BNF0	ENSRNOG00000038607
Q66HF2	ENSRNOG00000019710
Q66HG5	ENSRNOG00000012751
Q4KLL4	ENSRNOG00000009406
Q5I0H4	ENSRNOG00000003928
Q5BK85	ENSRNOG00000008037
Q63524	ENSRNOG00000001053
Q6AY25	ENSRNOG00000013889
D3ZTX0	ENSRNOG00000003691
Q5I0E7	ENSRNOG00000021882
Q63584	ENSRNOG00000007901
Q5PPI7	ENSRNOG00000022283
Q91ZW6	ENSRNOG00000000729
B0BN86	ENSRNOG00000005377
Q5HZE5	ENSRNOG00000009220
Q6DGF8	ENSRNOG00000005144
Q9ESG3	ENSRNOG00000003960
Q5XIP9	ENSRNOG00000007519
Q494T4	ENSRNOG00000024259
Q3T1H8	ENSRNOG00000019414
Q6AXW8	ENSRNOG00000028752
Q5U3Y7	ENSRNOG00000022657
Q6AYS5	ENSRNOG00000021316
P70566	ENSRNOG00000010447
P69526	ENSRNOG00000032429
Q53AQ4	ENSRNOG00000013383
Q4FZV7	ENSRNOG00000020916
Q5XIK2	ENSRNOG00000005308
P16599	ENSRNOG00000000837
P16599	ENSRNOG00000055156
Q06332	ENSRNOG00000000838
Q9Z2P3	ENSRNOG00000002968
P36940	ENSRNOG00000002978
Q9ESC2	ENSRNOG00000060970
P27768	ENSRNOG00000020276
P23693	ENSRNOG00000018250
Q7TNB2	ENSRNOG00000028041
P50753	ENSRNOG00000033734
P09739	ENSRNOG00000020332
Q80WY6	ENSRNOG00000016575
D3ZF92	ENSRNOG00000011517
P15725	ENSRNOG00000020106
Q5PQX1	ENSRNOG00000003946
Q6P752	ENSRNOG00000024849
A2RUW1	ENSRNOG00000019861
Q62760	ENSRNOG00000019980
Q75Q41	ENSRNOG00000014058
Q3KRD5	ENSRNOG00000029799
B6CZ62	ENSRNOG00000023434
D4A615	ENSRNOG00000014703
Q6IM78	ENSRNOG00000007500
Q68G38	ENSRNOG00000006894
Q6AYR4	ENSRNOG00000022514
P0C7W2	ENSRNOG00000022514
Q5M936	ENSRNOG00000004307
Q78EG7	ENSRNOG00000011771
Q78EG7	ENSRNOG00000057009
Q6P9X4	ENSRNOG00000050044
Q6AYJ8	ENSRNOG00000021100
P19637	ENSRNOG00000019018
Q5PQV5	ENSRNOG00000010694
Q5M887	ENSRNOG00000012124
B2RYU6	ENSRNOG00000014581
Q6PCT3	ENSRNOG00000015122
P09810	ENSRNOG00000011672
Q8CGU9	ENSRNOG00000003880
P48500	ENSRNOG00000015290
P48500	ENSRNOG00000050669
P04692	ENSRNOG00000018184
P58775	ENSRNOG00000016731
Q63610	ENSRNOG00000017441
P09495	ENSRNOG00000015496
Q9Z0T0	ENSRNOG00000016468
P49745	ENSRNOG00000046850
P49745	ENSRNOG00000050172
Q64560	ENSRNOG00000011194
Q2KMM2	ENSRNOG00000037627
D3ZVF4	ENSRNOG00000004419
D3ZVF4	ENSRNOG00000049062
Q5U1Z2	ENSRNOG00000010550
Q5PPN5	ENSRNOG00000016890
A8WCF8	ENSRNOG00000046227
Q5PQR8	ENSRNOG00000050645
Q5XHX2	ENSRNOG00000010896
F1MA98	ENSRNOG00000002394
Q3KR92	ENSRNOG00000000900
Q5RJS8	ENSRNOG00000000664
Q67ES9	ENSRNOG00000032448
Q9JKT5	ENSRNOG00000005664
Q67ET1	ENSRNOG00000031185
Q675B9	ENSRNOG00000032724
Q67ES1	ENSRNOG00000030752
Q67ER8	ENSRNOG00000021366
Q675B8	ENSRNOG00000033896
O08727	ENSRNOG00000008336
Q67ET3	ENSRNOG00000021445
Q67ES5	ENSRNOG00000021430
Q67ES6	ENSRNOG00000031107
Q67ES7	ENSRNOG00000027510
Q675B7	ENSRNOG00000029561
Q67ES3	ENSRNOG00000026817
Q67ES3	ENSRNOG00000053213
Q5M7V8	ENSRNOG00000009977
P62997	ENSRNOG00000001783
B5DF45	ENSRNOG00000004639
Q8R2H7	ENSRNOG00000010881
Q5XI41	ENSRNOG00000007892
Q5XHZ0	ENSRNOG00000005418
Q3SWU0	ENSRNOG00000042355
Q4G073	ENSRNOG00000026132
Q9QX75	ENSRNOG00000012609
P12346	ENSRNOG00000030625
P01150	ENSRNOG00000011824
B1H278	ENSRNOG00000002915
Q5M7V1	ENSRNOG00000009075
Q9WV59	ENSRNOG00000022983
P82458	ENSRNOG00000003613
P62603	ENSRNOG00000032930
Q6MFZ5	ENSRNOG00000000785
Q6MFY8	ENSRNOG00000000783
Q5XIH6	ENSRNOG00000006146
Q5PQN5	ENSRNOG00000012723
Q91Z63	ENSRNOG00000016543
Q5BK82	ENSRNOG00000017157
A0JPQ4	ENSRNOG00000022099
Q9WTQ6	ENSRNOG00000007319
Q496Z2	ENSRNOG00000026941
Q91ZY8	ENSRNOG00000007031
Q5EB66	ENSRNOG00000039924
Q496Z9	ENSRNOG00000002580
Q6AY46	ENSRNOG00000011398
Q4V7E0	ENSRNOG00000009492
Q9R283	ENSRNOG00000020188
E9PTA2	ENSRNOG00000001216
Q8R455	ENSRNOG00000019035
O35433	ENSRNOG00000019486
Q9ERZ8	ENSRNOG00000001195
Q9JIP0	ENSRNOG00000015394
Q4KM92	ENSRNOG00000037500
Q5M934	ENSRNOG00000017321
Q5XFW2	ENSRNOG00000043189
P00762	ENSRNOG00000032156
P00763	ENSRNOG00000032916
P12788	ENSRNOG00000013245
P32821	ENSRNOG00000013203
Q6IRE4	ENSRNOG00000013381
Q9Z0R8	ENSRNOG00000009708
Q9Z0R7	ENSRNOG00000061876
Q923K1	ENSRNOG00000019589
Q9Z136	ENSRNOG00000011470
P04652	ENSRNOG00000016793
Q568Y5	ENSRNOG00000054360
Q569A2	ENSRNOG00000059016
Q5FVL6	ENSRNOG00000005046
Q4V8E0	ENSRNOG00000018122
Q6AYR9	ENSRNOG00000023320
Q9JJW1	ENSRNOG00000023338
Q5U1V9	ENSRNOG00000025592
Q68VK5	ENSRNOG00000015913
Q9JHB5	ENSRNOG00000049784
P16257	ENSRNOG00000010549
Q9R1M3	ENSRNOG00000054648
Q5XIB1	ENSRNOG00000032677
P70537	ENSRNOG00000002925
D3ZC96	ENSRNOG00000042603
Q0VGK2	ENSRNOG00000050949
B5DEL3	ENSRNOG00000010495
D4A6D7	ENSRNOG00000002977
Q6AYP3	ENSRNOG00000012342
Q66H45	ENSRNOG00000014700
Q5BK48	ENSRNOG00000008850
Q6P5P3	ENSRNOG00000019464
P02767	ENSRNOG00000016275
Q66H56	ENSRNOG00000023494
Q5XI57	ENSRNOG00000020132
Q5PPI9	ENSRNOG00000010141
Q641W7	ENSRNOG00000008596
P41034	ENSRNOG00000007139
P0C5X8	ENSRNOG00000032699
O88808	ENSRNOG00000046566
Q2MHH0	ENSRNOG00000022239
P0C5H6	ENSRNOG00000008054
D3ZB51	ENSRNOG00000009253
Q5RJR2	ENSRNOG00000022507
P97831	ENSRNOG00000020355
Q5XHY3	ENSRNOG00000036670
Q4QQV1	ENSRNOG00000019357
Q5BJW3	ENSRNOG00000013712
Q498E0	ENSRNOG00000008090
Q5BJT4	ENSRNOG00000000133
Q5XHX6	ENSRNOG00000027916
Q715S9	ENSRNOG00000058285
Q69AB1	ENSRNOG00000029073
Q5M7W1	ENSRNOG00000021201
Q920J4	ENSRNOG00000018818
P32089	ENSRNOG00000038001
P04177	ENSRNOG00000020410
P63312	ENSRNOG00000042499
P63312	ENSRNOG00000036921
P62329	ENSRNOG00000047931
Q6X9T7	ENSRNOG00000020845
Q5FVR2	ENSRNOG00000032394
P45352	ENSRNOG00000037225
Q4V8B8	ENSRNOG00000008978
Q5XIA3	ENSRNOG00000043002
Q62885	ENSRNOG00000011060
Q7TP17	ENSRNOG00000024497
P70711	ENSRNOG00000034016
D3ZDK2	ENSRNOG00000000611
P61078	ENSRNOG00000013741
P62255	ENSRNOG00000010041
Q4V8J2	ENSRNOG00000030467
Q7M767	ENSRNOG00000001829
Q5U300	ENSRNOG00000019164
Q99MI7	ENSRNOG00000006221
Q5M7A4	ENSRNOG00000011027
Q5XIR9	ENSRNOG00000017983
Q6AXN0	ENSRNOG00000027368
Q6AXN0	ENSRNOG00000046295
Q5XIS7	ENSRNOG00000012004
P63281	ENSRNOG00000017907
Q5U203	ENSRNOG00000019953
Q9EQX9	ENSRNOG00000058053
B5DFI8	ENSRNOG00000016930
Q3B7D1	ENSRNOG00000006868
Q3T1H6	ENSRNOG00000010802
P25977	ENSRNOG00000020937
D3ZG27	ENSRNOG00000009575
Q5BJT2	ENSRNOG00000000921
B2GV38	ENSRNOG00000053061
D4A666	ENSRNOG00000005564
Q3KR59	ENSRNOG00000016509
Q5D006	ENSRNOG00000009049
Q2KJ09	ENSRNOG00000001598
Q569C3	ENSRNOG00000007890
B2GUX4	ENSRNOG00000038347
Q5U349	ENSRNOG00000006663
D3ZPG5	ENSRNOG00000028556
D3ZU96	ENSRNOG00000001059
F1M625	ENSRNOG00000002106
B2GUZ1	ENSRNOG00000054863
Q6IE24	ENSRNOG00000027012
Q5XIP4	ENSRNOG00000017016
Q68FV8	ENSRNOG00000013813
Q8R512	ENSRNOG00000015476
P0C627	ENSRNOG00000009137
Q499N6	ENSRNOG00000019666
Q5HZY0	ENSRNOG00000003625
Q00981	ENSRNOG00000002343
B9TQX4	ENSRNOG00000017987
P55090	ENSRNOG00000006090
P04633	ENSRNOG00000003580
P56500	ENSRNOG00000017854
P56499	ENSRNOG00000017716
P20788	ENSRNOG00000018281
Q64550	ENSRNOG00000018740
P09875	ENSRNOG00000001990
Q6BBI8	ENSRNOG00000003706
Q9ES53	ENSRNOG00000047394
B2GV24	ENSRNOG00000007831
Q5BJP3	ENSRNOG00000038176
Q5XIB4	ENSRNOG00000012087
Q9JLA3	ENSRNOG00000014901
Q5PQK4	ENSRNOG00000016891
P52759	ENSRNOG00000005437
D3ZHP7	ENSRNOG00000038459
Q32PZ3	ENSRNOG00000012357
O55227	ENSRNOG00000018128
P81827	ENSRNOG00000045799
B5DFN3	ENSRNOG00000025909
P0CD94	ENSRNOG00000045561
P49684	ENSRNOG00000036669
P09118	ENSRNOG00000016339
Q5I0I5	ENSRNOG00000013216
Q3T1I3	ENSRNOG00000023485
Q9JJW3	ENSRNOG00000020296
Q9JJW3	ENSRNOG00000042869
P41542	ENSRNOG00000002301
Q62668	ENSRNOG00000056021
P17559	ENSRNOG00000020196
A2RRU3	ENSRNOG00000016591
Q765I2	ENSRNOG00000038512
Q9QZQ4	ENSRNOG00000018393
Q5PQX0	ENSRNOG00000045605
Q63ZY7	ENSRNOG00000009893
P30560	ENSRNOG00000004400
Q5J3F6	ENSRNOG00000058136
Q5J3N1	ENSRNOG00000057461
Q5J3L7	ENSRNOG00000055542
Q5J3M4	ENSRNOG00000031140
Q5J3G9	ENSRNOG00000048956
Q5J3L4	ENSRNOG00000058628
Q5J3M9	ENSRNOG00000060112
Q5J3E5	ENSRNOG00000052138
Q00788	ENSRNOG00000059862
Q5FVL0	ENSRNOG00000006926
Q794C0	ENSRNOG00000003269
Q5EB76	ENSRNOG00000008218
Q80W92	ENSRNOG00000017219
Q63666	ENSRNOG00000019219
P63045	ENSRNOG00000006989
P63025	ENSRNOG00000030055
Q9JHW5	ENSRNOG00000008372
P84889	ENSRNOG00000004889
Q9Z270	ENSRNOG00000014765
Q9Z269	ENSRNOG00000005331
Q3MIE4	ENSRNOG00000020684
P62815	ENSRNOG00000011891
Q5FVI6	ENSRNOG00000004846
P50408	ENSRNOG00000007392
P63081	ENSRNOG00000006542
Q9JM00	ENSRNOG00000008824
P29534	ENSRNOG00000014333
Q8CF97	ENSRNOG00000006980
Q9Z2L0	ENSRNOG00000006375
P81155	ENSRNOG00000013505
O35485	ENSRNOG00000021156
O35757	ENSRNOG00000011416
P20289	ENSRNOG00000033761
Q5XI52	ENSRNOG00000006514
Q62634	ENSRNOG00000020650
Q7TSF2	ENSRNOG00000007581
Q64259	ENSRNOG00000010258
O35458	ENSRNOG00000015393
P35000	ENSRNOG00000004317
P01283	ENSRNOG00000018808
P62762	ENSRNOG00000005345
